"participant","signal","stimulus_intensity","response","confidence","accuracy"
"10",1,2,1,46,1
"10",0,2,0,43,1
"10",0,2,1,55,0
"10",0,6,0,41,1
"10",0,6,0,38,1
"10",0,2,0,64,1
"10",0,2,1,40,0
"11",1,10,1,100,1
"11",1,10,1,100,1
"11",0,6,0,68,1
"11",1,6,0,100,0
"11",0,10,1,78,0
"11",1,14,1,87,1
"11",0,14,0,64,1
"11",1,10,1,81,1
"11",1,10,1,100,1
"11",1,6,0,61,0
"11",1,10,1,61,1
"11",0,10,0,83,1
"11",1,6,0,60,0
"11",0,10,0,100,1
"11",0,10,0,100,1
"11",0,6,0,68,1
"11",1,6,0,0,0
"11",0,10,1,55,0
"11",0,14,0,75,1
"11",1,14,1,100,1
"11",1,10,1,100,1
"11",1,10,1,71,1
"11",1,6,1,70,1
"11",0,6,1,75,0
"11",0,10,0,63,1
"11",0,10,0,100,1
"11",0,6,0,62,1
"11",0,6,1,67,0
"11",1,10,1,100,1
"11",1,10,1,67,1
"11",0,6,0,66,1
"11",1,6,1,66,1
"11",0,2,1,65,0
"11",1,6,1,84,1
"11",0,6,0,72,1
"11",1,2,1,80,1
"11",0,2,1,50,0
"11",0,6,0,74,1
"11",0,6,0,51,1
"11",1,2,0,75,0
"11",1,6,0,73,0
"11",1,10,1,100,1
"11",1,10,1,84,1
"11",1,6,1,100,1
"11",0,6,0,71,1
"11",0,2,0,90,1
"11",1,2,1,80,1
"11",1,2,1,100,1
"11",1,2,0,53,0
"11",1,6,0,68,0
"11",1,10,1,100,1
"11",1,10,1,100,1
"11",0,6,0,90,1
"11",1,6,0,64,0
"11",0,10,0,100,1
"11",1,10,0,62,0
"11",1,14,1,100,1
"11",0,14,0,100,1
"11",1,10,1,72,1
"11",0,10,0,41,1
"11",0,6,1,67,0
"11",1,10,1,100,1
"11",0,10,0,100,1
"11",1,6,1,100,1
"11",0,6,0,100,1
"11",0,2,0,100,1
"11",1,2,0,55,0
"11",1,6,1,100,1
"11",1,6,1,59,1
"11",0,2,0,78,1
"11",1,2,1,48,1
"11",0,2,0,80,1
"11",1,2,0,77,0
"11",0,6,0,77,1
"11",0,6,1,82,0
"11",0,10,0,100,1
"11",1,10,1,66,1
"11",0,6,0,83,1
"11",1,6,1,100,1
"11",1,2,1,84,1
"12",0,20,1,38,0
"12",1,24,1,43,1
"12",1,24,1,68,1
"12",0,20,0,70,1
"12",1,20,1,53,1
"12",0,16,0,38,1
"12",1,16,0,6,0
"12",0,20,0,47,1
"12",1,20,1,47,1
"12",1,16,1,42,1
"12",0,16,0,10,1
"12",0,12,1,50,0
"12",1,16,1,0,1
"12",0,16,1,52,0
"12",1,20,0,9,0
"12",0,24,0,11,1
"12",0,24,1,10,0
"12",1,28,0,12,0
"12",0,32,0,45,1
"12",0,32,0,45,1
"12",1,28,1,77,1
"12",0,28,0,53,1
"12",0,24,1,44,0
"12",0,32,0,56,1
"12",0,32,0,72,1
"12",0,28,0,66,1
"12",0,28,0,0,1
"12",1,24,1,46,1
"12",0,24,1,14,0
"12",0,28,0,66,1
"12",0,28,0,50,1
"12",1,24,0,7,0
"12",1,28,1,69,1
"12",1,28,1,78,1
"12",0,24,0,69,1
"12",0,24,0,64,1
"12",1,20,0,0,0
"12",1,24,1,66,1
"12",0,24,0,14,1
"12",0,20,0,60,1
"12",0,20,1,49,0
"12",0,24,0,41,1
"12",0,24,0,80,1
"12",1,20,0,8,0
"12",1,24,1,17,1
"12",1,24,0,14,0
"12",1,28,1,57,1
"12",0,28,0,37,1
"12",1,24,1,71,1
"12",0,28,0,30,1
"12",0,24,0,40,1
"12",0,24,0,64,1
"12",0,20,0,52,1
"12",1,20,1,49,1
"12",1,16,1,64,1
"12",0,16,0,71,1
"12",0,12,0,45,1
"12",0,12,1,26,0
"12",0,16,0,68,1
"12",0,16,0,14,1
"12",0,12,1,10,0
"12",0,16,0,10,1
"12",1,16,1,49,1
"12",1,12,1,36,1
"12",1,12,1,36,1
"12",0,8,0,26,1
"12",0,8,1,50,0
"12",0,12,0,44,1
"12",1,12,1,13,1
"12",1,8,0,38,0
"12",1,12,1,37,1
"12",1,12,0,22,0
"12",0,16,0,25,1
"12",1,16,1,20,1
"12",1,12,1,21,1
"12",0,12,0,52,1
"13",1,8,1,87,1
"13",1,8,1,88,1
"13",0,4,1,86,0
"13",0,8,0,88,1
"13",0,4,0,85,1
"13",1,4,1,63,1
"13",1,2,1,100,1
"13",0,2,1,74,0
"13",0,6,0,100,1
"13",0,6,1,70,0
"13",1,10,1,78,1
"13",0,10,0,56,1
"13",0,6,0,84,1
"13",0,6,1,75,0
"13",1,10,1,77,1
"13",0,10,0,100,1
"13",0,6,0,100,1
"13",0,6,1,40,0
"13",1,10,1,100,1
"13",1,10,1,72,1
"13",1,6,1,62,1
"13",1,6,1,64,1
"13",1,2,0,67,0
"13",1,6,0,79,0
"13",1,10,1,76,1
"13",0,10,0,100,1
"13",1,6,0,70,0
"13",1,10,1,75,1
"13",1,10,1,100,1
"13",1,6,1,74,1
"13",1,6,1,56,1
"13",0,2,0,100,1
"13",1,2,1,100,1
"13",1,2,0,69,0
"13",1,6,1,72,1
"13",1,6,1,45,1
"13",0,2,0,68,1
"13",1,2,0,49,0
"13",1,6,1,62,1
"13",0,6,0,100,1
"13",0,2,0,100,1
"13",1,2,1,100,1
"13",1,2,0,61,0
"13",0,6,1,57,0
"13",1,10,1,67,1
"13",0,10,0,66,1
"13",1,6,1,69,1
"13",1,6,1,71,1
"13",1,2,0,72,0
"13",0,6,1,71,0
"13",1,10,1,85,1
"13",1,10,0,61,0
"13",1,14,1,100,1
"13",0,14,0,46,1
"13",0,10,0,76,1
"13",0,10,0,100,1
"13",1,6,1,76,1
"13",0,6,1,60,0
"13",0,10,0,68,1
"13",0,10,0,65,1
"13",1,6,1,100,1
"13",1,6,0,12,0
"13",0,10,0,71,1
"13",0,10,0,21,1
"13",1,6,0,42,0
"13",0,10,0,52,1
"13",0,10,1,47,0
"13",0,14,0,81,1
"13",1,14,1,100,1
"13",1,10,1,83,1
"13",1,10,1,100,1
"13",1,6,1,100,1
"13",1,6,0,75,0
"13",1,10,1,72,1
"13",0,10,0,100,1
"13",0,6,0,71,1
"13",0,6,0,83,1
"13",1,2,0,20,0
"13",0,6,0,80,1
"14",0,10,0,48,1
"14",1,10,0,77,0
"14",1,14,1,80,1
"14",0,14,0,70,1
"14",0,10,0,68,1
"14",0,10,0,78,1
"14",1,6,0,51,0
"14",1,10,1,66,1
"14",0,10,0,54,1
"14",0,6,0,75,1
"14",1,6,1,80,1
"14",1,2,1,78,1
"14",0,2,1,58,0
"14",1,6,0,73,0
"14",0,10,0,86,1
"14",1,10,1,64,1
"14",0,6,1,67,0
"14",1,10,1,71,1
"14",0,10,0,77,1
"14",1,6,0,32,0
"14",1,10,1,40,1
"14",1,10,1,76,1
"14",0,6,0,69,1
"14",1,6,1,80,1
"14",0,2,0,34,1
"14",1,2,1,42,1
"14",0,2,0,69,1
"14",1,2,1,72,1
"14",0,2,1,77,0
"14",1,6,0,26,0
"14",1,10,1,76,1
"14",0,10,0,47,1
